2893,B89A,1ECF,9610
2894,B89D,CA22,861E
2895,B89C,8509,6B37
2896,B89F,BECD,D619
2897,B89E,0ABF,309C
2898,B891,CABD,4B30
2899,B890,0A23,5D5C
289A,B893,A546,CD58
289B,B892,E416,AB3E
289C,B895,D410,EB39
289D,B894,E4E5,F092
289E,B897,BE52,BD5D
289F,B896,A505,0098
28A0,B8A9,0E41,2342
28A1,B8A8,DE17,127D
28A2,B8AB,8E0E,9D40
28A3,B8AA,0E0B,9340
28A4,B8AD,BE1C,DD49
28A5,B8AC,DEEE,4070
28A6,B8AF,CE08,D349
28A7,B8AE,1EEB,F072
28A8,B8A1,BEE8,4270
28A9,B8A0,1E11,2D42
28AA,B8A3,EE1A,BD4D
28AB,B8A2,AE4A,E079
28AC,B8A5,8E47,E279
28AD,B8A4,AE04,F272
28AE,B8A7,CE4C,B34D
28AF,B8A6,EEE4,107D
28B0,B8B9,BE32,FD33
28B1,B8B8,8970,BD1F
28B2,B8BB,DCF9,6D3A
28B3,B8BA,BEFD,4D36
28B4,B8BD,C972,AD34
28B5,B8BC,89D9,7D1A
28B6,B8BF,BCFD,ED35
28B7,B8BE,CADD,5D11
28B8,B8B1,C9DD,9D16
28B9,B8B0,CA72,3D31
28BA,B8B3,8A70,0D3B
28BB,B8B2,DE30,8D14
28BC,B8B5,DC30,DD15
28BD,B8B4,DEF9,2D13
28BE,B8B7,BC32,1D3F
28BF,B8B6,8AD9,CD1B
28C0,B8C9,5EDC,FC73
28C1,B8C8,9CF7,B30F
28C2,B8CB,83D7,4976
28C3,B8CA,C2DC,4C76
28C4,B8CD,2CFC,EDD5
28C5,B8CC,D3F7,9946
28C6,B8CF,C3DC,E3D5
28C7,B8CE,B2FC,2943
28C8,B8C1,B3FC,9C46
28C9,B8C0,2EFC,F973
28CA,B8C3,9EF7,1DDF
28CB,B8C2,7ED7,DD05
28CC,B8C5,7CD7,D305
28CD,B8C4,82D7,2C43
28CE,B8C7,5CDC,13DF
28CF,B8C6,D2F7,BD0F
28D0,B8D9,FEC3,2952
28D1,B8D8,7500,10AD
28D2,B8DB,D7E0,7F17
28D3,B8DA,12C3,9F10
28D4,B8DD,5AB2,86EE
28D5,B8DC,8B00,6537
28D6,B8DF,B2C2,D6E9
28D7,B8DE,00B3,3A9C
28D8,B8D1,C0B2,4530
28D9,B8D0,3AB3,595C
28DA,B8D3,6506,CDC8
28DB,B8D2,44E6,ABFE
28DC,B8D5,94E0,EBF9
28DD,B8D4,E7E6,FA92
28DE,B8D7,2EC2,BDCD
28DF,B8D6,AB06,00A8
28E0,B8E9,0E21,2322
28E1,B8E8,D417,128D
28E2,B8EB,840E,9640
28E3,B8EA,0EBB,9140
28E4,B8ED,BE5C,D649
28E5,B8EC,D4EE,4B70
28E6,B8EF,CEB8,D149
28E7,B8EE,1ECB,F082
28E8,B8E1,BEC8,4770
28E9,B8E0,1E51,2D22
28EA,B8E3,E41A,BD2D
28EB,B8E2,A44A,EB79
28EC,B8E5,8447,E779
28ED,B8E4,A404,F282
28EE,B8E7,CE2C,B32D
28EF,B8E6,E4E4,108D
28F0,B8F9,CE7C,F373
28F1,B8F8,DC37,B34F
28F2,B8FB,8CDE,4D76
28F3,B8FA,CED8,4376
28F4,B8FD,BC3C,ED75
28F5,B8FC,DCFE,9D46
28F6,B8FF,CCD8,E375
28F7,B8FE,BEF8,2D43
28F8,B8F1,BCF8,9346
28F9,B8F0,BE3C,FD73
28FA,B8F3,DE37,1D7F
28FB,B8F2,8E77,DD45
28FC,B8F5,8C77,D345
28FD,B8F4,8EDE,2343
28FE,B8F7,CC7C,137F
28FF,B8F6,DEFE,BD4F
2900,B909,336C,F22D
2901,B908,91FA,FE8F
2902,B90B,817A,4B49
2903,B90A,038C,4749
2904,B90D,23A1,4549
2905,B90C,D13A,4B75
2906,B90F,C381,4449
2907,B90E,139C,F08F
2908,B901,B391,4775
2909,B900,F3AC,F02D
290A,B903,41F7,FA2D
290B,B902,61D7,4575
290C,B905,71DA,4475
290D,B904,A177,F28F
290E,B907,5361,FE2D
290F,B906,E137,FA8F
2910,B919,0C28,FCBF
2911,B918,D434,BEB3
2912,B91B,77D4,4F05
2913,B91A,33B8,4805
2914,B91D,BE9B,EF06
2915,B91C,97F4,9505
2916,B91F,526B,E806
2917,B91E,F3C8,2ABF
2918,B911,22AB,9405
2919,B910,1C58,F9BF
291A,B913,E81E,19B3
291B,B912,A84E,D506
291C,B915,8474,D406
291D,B914,610E,2EBF
291E,B917,CE8B,1CB3
291F,B916,41EE,BAB3
2920,B929,33DC,F24D
2921,B928,93FA,FE7F
2922,B92B,837A,4049
2923,B92A,037C,4249
2924,B92D,23F1,4A49
2925,B92C,D33A,4075
2926,B92F,C371,4E49
2927,B92E,133C,F07F
2928,B921,B331,4275
2929,B920,F3FC,F04D
292A,B923,43F7,FA4D
292B,B922,63D7,4A75
292C,B925,73DA,4E75
292D,B924,A377,F27F
292E,B927,53D1,FE4D
292F,B926,E337,FA7F
2930,B939,1C5D,F9CF
2931,B938,8575,BAC3
2932,B93B,97F5,6FE4
2933,B93A,F3CD,4FE5
2934,B93D,CA8F,AFEA
2935,B93C,7BD5,75E4
2936,B93F,22AF,EFE6
2937,B93E,3DBD,5ACB
2938,B931,506F,95E5
2939,B930,092D,39CB
293A,B933,AF49,09C1
293B,B932,E819,85EA
293C,B935,D435,D5E6
293D,B934,41E9,2ACF
293E,B937,BE9F,19C3
293F,B936,6609,CAC1
2940,B949,1C3D,FAED
2941,B948,8975,1AF3
2942,B94B,93F5,6AEE
2943,B94A,F3FD,4AE9
2944,B94D,C97F,AAE7
2945,B94C,7DD5,6AF4
2946,B94F,23FF,EAE0
2947,B94E,3DDD,3AFB
2948,B941,5DDF,4AF5
2949,B940,097D,3AE8
294A,B943,A979,0AEC
294B,B942,EC39,AAFA
294C,B945,DC35,EAF6
294D,B944,43F9,FAFF
294E,B947,BC3F,1AE2
294F,B946,6DD9,0AF1
2950,B959,F3E2,FD1F
2951,B958,70D6,2A1F
2952,B95B,D236,6D14
2953,B95A,1312,4D15
2954,B95D,50D3,6914
2955,B95C,8076,7014
2956,B95F,B233,4915
2957,B95E,0D42,501B
2958,B951,C073,9015
2959,B950,3D02,3D1B
295A,B953,6D00,391B
295B,B952,43E0,7A14
295C,B955,92F6,9A15
295D,B954,E310,201F
295E,B957,22F3,F91F
295F,B956,AD40,5A1B
2960,B969,F3C2,FD5F
2961,B968,7BD6,2A5F
2962,B96B,D736,6614
2963,B96A,1352,4615
2964,B96D,5063,6F14
2965,B96C,8B76,7B14
2966,B96F,B293,4F15
2967,B96E,0D22,505B
2968,B961,C083,9B15
2969,B960,3DB2,3D5B
296A,B963,6600,395B
296B,B962,41E0,7514
296C,B965,97F6,9515
296D,B964,E110,205F
296E,B967,22A3,F95F
296F,B966,A640,5A5B
2970,B979,33BC,F32F
2971,B978,97FA,2E2F
2972,B97B,877A,4645
2973,B97A,032C,4145
2974,B97D,22A1,4F45
2975,B97C,D73A,9B45
2976,B97F,C281,4845
2977,B97E,135C,202F
2978,B971,B291,9745
2979,B970,F3CC,FD2F
297A,B973,41E7,F92F
297B,B972,6107,9545
297C,B975,77DA,9445
297D,B974,A147,222F
297E,B977,5261,FC2F
297F,B976,E117,2A2F
2980,B989,F3F2,F01D
2981,B988,7DD6,FA3F
2982,B98B,D336,601E
2983,B98A,1332,4019
2984,B98D,5DD3,6A1E
2985,B98C,8D76,6034
2986,B98F,B333,4A19
2987,B98E,0D72,303B
2988,B981,CD73,4035
2989,B980,3DD2,3018
298A,B983,6DD0,3A18
298B,B982,43F0,6A34
298C,B985,93F6,4A35
298D,B984,E330,F03F
298E,B987,23F3,FA1D
298F,B986,AD70,3A3B
2990,B999,1C9D,FACD
2991,B998,8F75,1AA3
2992,B99B,91F5,65EE
2993,B99A,F3AD,45E9
2994,B99D,C98F,A5E7
2995,B99C,76D5,65F4
2996,B99F,23AF,E5E0
2997,B99E,3D6D,3AAB
2998,B991,5D6F,45F5
2999,B990,098D,3AC8
299A,B993,AF79,0ACC
299B,B992,E839,A5FA
299C,B995,D835,E5F6
299D,B994,41F9,FAAF
299E,B997,BC9F,1AC2
299F,B996,66D9,0AA1
29A0,B9A9,0C78,FE0D
29A1,B9A8,DC34,1ED3
29A2,B9AB,73D4,4A09
29A3,B9AA,33D8,4E09
29A4,B9AD,BC3B,EA00
29A5,B9AC,93F4,4AD5
29A6,B9AF,53DB,EE00
29A7,B9AE,F3F8,FADF
29A8,B9A1,23FB,4ED5
29A9,B9A0,1C38,FA0D
29AA,B9A3,EC3E,1A02
29AB,B9A2,AC7E,EAD6
29AC,B9A5,8C74,EED6
29AD,B9A4,63DE,FEDF
29AE,B9A7,CC7B,1E02
29AF,B9A6,43FE,1AD3
29B0,B9B9,1C1D,F9EF
29B1,B9B8,8A75,BAE3
29B2,B9BB,92F5,69E4
29B3,B9BA,F3ED,49E5
29B4,B9BD,CA7F,A9EA
29B5,B9BC,70D5,7AE4
29B6,B9BF,22FF,E9E6
29B7,B9BE,3D0D,5AEB
29B8,B9B1,50DF,9AE5
29B9,B9B0,094D,39EB
29BA,B9B3,A949,09E1
29BB,B9B2,EC19,8AEA
29BC,B9B5,DE35,DAE6
29BD,B9B4,43E9,2AEF
29BE,B9B7,BE3F,19E3
29BF,B9B6,6D09,CAE1
29C0,B9C9,330C,F34F
29C1,B9C8,92FA,2E4F
29C2,B9CB,827A,4D45
29C3,B9CA,034C,4345
29C4,B9CD,22F1,4945
29C5,B9CC,D23A,9045
29C6,B9CF,C271,4C45
29C7,B9CE,131C,204F
29C8,B9C1,B231,9245
29C9,B9C0,F3EC,FD4F
29CA,B9C3,43E7,F94F
29CB,B9C2,6307,9A45
29CC,B9C5,72DA,9E45
29CD,B9C4,A347,224F
29CE,B9C7,52D1,FC4F
29CF,B9C6,E317,2A4F
29D0,B9D9,F3A2,F05D
29D1,B9D8,76D6,FA9F
29D2,B9DB,D136,6B1E
29D3,B9DA,1392,4B19
29D4,B9DD,5D63,651E
29D5,B9DC,8676,6B34
29D6,B9DF,B393,4519
29D7,B9DE,0D82,309B
29D8,B9D1,CD83,4B35
29D9,B9D0,3D62,3058
29DA,B9D3,66D0,3A58
29DB,B9D2,41F0,6534
29DC,B9D5,91F6,4535
29DD,B9D4,E130,F09F
29DE,B9D7,23A3,FA5D
29DF,B9D6,A670,3A9B
29E0,B9E9,0C88,FEBD
29E1,B9E8,D834,1E63
29E2,B9EB,71D4,4509
29E3,B9EA,3368,4409
29E4,B9ED,BC9B,E500
29E5,B9EC,91F4,45D5
29E6,B9EF,536B,E400
29E7,B9EE,F3A8,FA6F
29E8,B9E1,23AB,44D5
29E9,B9E0,1C98,FABD
29EA,B9E3,E83E,1AB2
29EB,B9E2,A87E,E5D6
29EC,B9E5,8874,E4D6
29ED,B9E4,61DE,FE6F
29EE,B9E7,CC8B,1EB2
29EF,B9E6,41FE,1A63
29F0,B9F9,0C48,FC0F
29F1,B9F8,DE34,BE03
29F2,B9FB,72D4,4905
29F3,B9FA,3308,4C05
29F4,B9FD,BE3B,E906
29F5,B9FC,92F4,9A05
29F6,B9FF,52DB,EC06
29F7,B9FE,F3E8,2A0F
29F8,B9F1,22FB,9E05
29F9,B9F0,1C18,F90F
29FA,B9F3,EC1E,1903
29FB,B9F2,AC4E,DA06
29FC,B9F5,8E74,DE06
29FD,B9F4,630E,2E0F
29FE,B9F7,CE7B,1C03
29FF,B9F6,43EE,BA03
2A00,BA09,64E1,9F4C
2A01,BA08,9AEC,EBD8
2A02,BA0B,82EC,7C12
2A03,BA0A,A7E1,994C
2A04,BA0D,95EC,83ED
2A05,BA0C,D0EC,6E32
2A06,BA0F,87EC,DD08
2A07,BA0E,EBE1,6432
2A08,BA01,DBEC,4A7C
2A09,BA00,45E1,7812
2A0A,BA03,4AE1,81ED
2A0B,BA02,6EE1,A2FD
2A0C,BA05,7EEC,E0D8
2A0D,BA04,A2E1,457C
2A0E,BA07,74EC,D608
2A0F,BA06,E0E1,A7FD
2A10,BA19,843C,4671
2A11,BA18,D93C,D64B
2A12,BA1B,8CF8,6333
2A13,BA1A,84F8,4D71
2A14,BA1D,DF3C,A33F
2A15,BA1C,D9F8,7313
2A16,BA1F,88F8,ED7B
2A17,BA1E,D5F8,7113
2A18,BA11,DFF8,9D41
2A19,BA10,D53C,6133
2A1A,BA13,DA3C,A13F
2A1B,BA12,8E3C,831F
2A1C,BA15,8C3C,DD4B
2A1D,BA14,8EF8,9641
2A1E,BA17,883C,E67B
2A1F,BA16,DAF8,811F
2A20,BA29,34CA,2F27
2A21,BA28,95CC,1B6E
2A22,BA2B,87CC,7852
2A23,BA2A,07CA,9F2C
2A24,BA2D,25C7,81CD
2A25,BA2C,DBCC,6492
2A26,BA2F,C7C7,D6B8
2A27,BA2E,1BCA,3490
2A28,BA21,BBC7,458C
2A29,BA20,F5CA,5850
2A2A,BA23,45C1,C1C9
2A2B,BA22,64C1,A7AD
2A2C,BA25,74CC,EB68
2A2D,BA24,A7C1,F587
2A2E,BA27,54C7,B6BE
2A2F,BA26,EBC1,07A9
2A30,BA39,8532,4171
2A31,BA38,897C,D14B
2A32,BA3B,89FD,6373
2A33,BA3A,85FD,4371
2A34,BA3D,8F7C,A37F
2A35,BA3C,89D8,7343
2A36,BA3F,8FFD,E37B
2A37,BA3E,85D8,7143
2A38,BA31,8FD8,9341
2A39,BA30,857C,6173
2A3A,BA33,8A7C,A17F
2A3B,BA32,8A32,834F
2A3C,BA35,8932,D34B
2A3D,BA34,8AFD,9141
2A3E,BA37,8F32,E17B
2A3F,BA36,8AD8,814F
2A40,BA49,0556,2127
2A41,BA48,852C,178E
2A42,BA4B,85CD,7122
2A43,BA4A,05C5,912C
2A44,BA4D,C527,812D
2A45,BA4C,85B8,6782
2A46,BA4F,C5C9,D128
2A47,BA4E,05B4,3780
2A48,BA41,C5BE,478C
2A49,BA40,052A,5120
2A4A,BA43,A521,C129
2A4B,BA42,A553,A78D
2A4C,BA45,8552,E788
2A4D,BA44,A5CF,F787
2A4E,BA47,C550,B12E
2A4F,BA46,A5BB,0789
2A50,BA59,55A0,F88A
2A51,BA58,7F6C,B1B4
2A52,BA5B,86A2,6883
2A53,BA5A,CBA0,4881
2A54,BA5D,5F67,A16F
2A55,BA5C,866C,7823
2A56,BA5F,C6A0,E16B
2A57,BA5E,CB67,5826
2A58,BA51,C667,9821
2A59,BA50,5567,3886
2A5A,BA53,756C,0165
2A5B,BA52,75A2,81BF
2A5C,BA55,7FA2,D1BB
2A5D,BA54,8BA2,282A
2A5E,BA57,5FA0,1164
2A5F,BA56,8B6C,C1B5
2A60,BA69,75F2,4871
2A61,BA68,79DC,D10B
2A62,BA6B,8DF2,6C73
2A63,BA6A,8BF2,4C71
2A64,BA6D,7FDC,A3DF
2A65,BA6C,8DDC,7C43
2A66,BA6F,86F2,E3DB
2A67,BA6E,8BDC,7843
2A68,BA61,86DC,9C41
2A69,BA60,75DC,6873
2A6A,BA63,7ADC,A1DF
2A6B,BA62,7AF2,830F
2A6C,BA65,79F2,D30B
2A6D,BA64,80F2,9841
2A6E,BA67,7FF2,E1DB
2A6F,BA66,80DC,810F
2A70,BA79,74FC,4F71
2A71,BA78,99FC,D60B
2A72,BA7B,83FC,6C33
2A73,BA7A,87FC,4971
2A74,BA7D,9FFC,A3FF
2A75,BA7C,DDFC,7C13
2A76,BA7F,81FC,EDDB
2A77,BA7E,DBFC,7813
2A78,BA71,D6FC,9941
2A79,BA70,95FC,6833
2A7A,BA73,9AFC,A1FF
2A7B,BA72,7EFC,83EF
2A7C,BA75,7CFC,DD0B
2A7D,BA74,82FC,9F41
2A7E,BA77,78FC,E6DB
2A7F,BA76,D0FC,81EF
2A80,BA89,35C6,2827
2A81,BA88,75BC,176E
2A82,BA8B,8BC2,7822
2A83,BA8A,0BC6,982C
2A84,BA8D,55B7,81BD
2A85,BA8C,8BBC,6482
2A86,BA8F,CBC0,D1B8
2A87,BA8E,0BBA,3480
2A88,BA81,CBB7,448C
2A89,BA80,35BA,5820
2A8A,BA83,65B1,C1B9
2A8B,BA82,65C3,A76D
2A8C,BA85,75C2,E768
2A8D,BA84,ABC3,F487
2A8E,BA87,55C0,B1BE
2A8F,BA86,ABB1,0769
2A90,BA99,A513,914C
2A91,BA98,8A4C,E778
2A92,BA9B,8AED,7342
2A93,BA9A,A5EF,934C
2A94,BA9D,854C,834D
2A95,BA9C,8A08,6272
2A96,BA9F,85ED,D348
2A97,BA9E,A50B,6772
2A98,BA91,8508,427C
2A99,BA90,A541,7142
2A9A,BA93,AA41,814D
2A9B,BA92,AA13,A27D
2A9C,BA95,8A12,E278
2A9D,BA94,AAEF,477C
2A9E,BA97,8512,D148
2A9F,BA96,AA0B,A77D
2AA0,BAA9,045A,2627
2AA1,BAA8,D55C,1B8E
2AA2,BAAB,84C8,7152
2AA3,BAAA,04C4,962C
2AA4,BAAD,B557,815D
2AA5,BAAC,D5C8,6792
2AA6,BAAF,C4CE,D628
2AA7,BAAE,15C4,3790
2AA8,BAA1,B5CE,4B8C
2AA9,BAA0,155A,5150
2AAA,BAA3,E551,C159
2AAB,BAA2,A451,A79D
2AAC,BAA5,845C,EB88
2AAD,BAA4,A4CB,FB87
2AAE,BAA7,C457,B62E
2AAF,BAA6,E5CB,0799
2AB0,BAB9,C590,F18A
2AB1,BAB8,8F8C,B124
2AB2,BABB,8FAD,6183
2AB3,BABA,C5A9,4181
2AB4,BABD,CF87,A18F
2AB5,BABC,8F68,7123
2AB6,BABF,CFA9,E18B
2AB7,BABE,C56E,5126
2AB8,BAB1,CF6E,9121
2AB9,BAB0,C587,3186
2ABA,BAB3,858C,0185
2ABB,BAB2,8592,812F
2ABC,BAB5,8F92,D12B
2ABD,BAB4,85AD,212A
2ABE,BAB7,CF90,1184
2ABF,BAB6,8568,C125
2AC0,BAC9,54A7,FF8A
2AC1,BAC8,9FAC,B6B4
2AC2,BACB,81AC,6893
2AC3,BACA,C7A7,4F81
2AC4,BACD,2FA7,A1AF
2AC5,BACC,D6AC,7853
2AC6,BACF,C1A7,E66B
2AC7,BACE,BBA7,5856
2AC8,BAC1,B6A7,9F21
2AC9,BAC0,25A7,3896
2ACA,BAC3,95AC,01A5
2ACB,BAC2,74AC,81CF
2ACC,BAC5,78AC,D6BB
2ACD,BAC4,87AC,2F2A
2ACE,BAC7,58A7,1664
2ACF,BAC6,DBAC,C1C5
2AD0,BAD9,65E3,984C
2AD1,BAD8,7A0C,E7D8
2AD2,BADB,80E2,7C42
2AD3,BADA,ABE3,9C4C
2AD4,BADD,750C,830D
2AD5,BADC,800C,6E72
2AD6,BADF,8BE2,D308
2AD7,BADE,AB01,6472
2AD8,BAD1,8B0C,4E7C
2AD9,BAD0,6501,7842
2ADA,BAD3,6A01,810D
2ADB,BAD2,6AE3,A2DD
2ADC,BAD5,7AE2,E2D8
2ADD,BAD4,A0E3,447C
2ADE,BAD7,75E2,D108
2ADF,BAD6,A001,A7DD
2AE0,BAE9,A411,964C
2AE1,BAE8,DA1C,EB78
2AE2,BAEB,8EE8,7312
2AE3,BAEA,A4EB,9D4C
2AE4,BAED,D51C,831D
2AE5,BAEC,DAE8,6232
2AE6,BAEF,84E8,DD48
2AE7,BAEE,E5EB,6732
2AE8,BAE1,D5E8,407C
2AE9,BAE0,E511,7112
2AEA,BAE3,EA11,811D
2AEB,BAE2,AE11,A23D
2AEC,BAE5,8E1C,E078
2AED,BAE4,AEEB,4B7C
2AEE,BAE7,841C,D648
2AEF,BAE6,EAEB,A73D
2AF0,BAF9,C497,F68A
2AF1,BAF8,DF9C,B624
2AF2,BAFB,88A8,6193
2AF3,BAFA,C4AE,4681
2AF4,BAFD,BF97,A19F
2AF5,BAFC,DFA8,7153
2AF6,BAFF,C8AE,E68B
2AF7,BAFE,B5AE,5156
2AF8,BAF1,BFAE,9621
2AF9,BAF0,B597,3196
2AFA,BAF3,D59C,0195
2AFB,BAF2,849C,815F
2AFC,BAF5,889C,D62B
2AFD,BAF4,84A8,262A
2AFE,BAF7,C897,1684
2AFF,BAF6,D5A8,C155
2B00,BB09,6401,9842
2B01,BB08,9EEC,E7DD
2B02,BB0B,820C,9942
2B03,BB0A,A701,9C42
2B04,BB0D,94EC,DD0D
2B05,BB0C,D2EC,4A72
2B06,BB0F,870C,D30D
2B07,BB0E,E7E1,4572
2B08,BB01,D7EC,4E72
2B09,BB00,44E1,9F42
2B0A,BB03,4EE1,D60D
2B0B,BB02,6E01,E0DD
2B0C,BB05,7E0C,E2DD
2B0D,BB04,A201,4472
2B0E,BB07,740C,D10D
2B0F,BB06,E2E1,EBDD
2B10,BB19,847C,4173
2B11,BB18,DC3C,D14F
2B12,BB1B,8CD8,4D73
2B13,BB1A,84D8,4373
2B14,BB1D,D83C,ED7F
2B15,BB1C,DCF8,9D43
2B16,BB1F,88D8,E37F
2B17,BB1E,D4F8,9643
2B18,BB11,D8F8,9343
2B19,BB10,D43C,4673
2B1A,BB13,DE3C,E67F
2B1B,BB12,8E7C,DD4F
2B1C,BB15,8C7C,D34F
2B1D,BB14,8ED8,9143
2B1E,BB17,887C,E17F
2B1F,BB16,DEF8,D64F
2B20,BB29,34BA,2820
2B21,BB28,94CC,1769
2B22,BB2B,87BC,9F22
2B23,BB2A,07BA,9822
2B24,BB2D,24C7,D6BD
2B25,BB2C,D7CC,4582
2B26,BB2F,C7B7,D1BD
2B27,BB2E,17CA,F580
2B28,BB21,B7C7,4482
2B29,BB20,F4CA,2F20
2B2A,BB23,44C1,B6B9
2B2B,BB22,64B1,EB6D
2B2C,BB25,74BC,E76D
2B2D,BB24,A7B1,F480
2B2E,BB27,54B7,B1B9
2B2F,BB26,E7C1,1B69
2B30,BB39,D432,4633
2B31,BB38,8972,D61F
2B32,BB3B,DCFD,6D31
2B33,BB3A,D4FD,4D33
2B34,BB3D,8F72,AD3B
2B35,BB3C,89DD,7D11
2B36,BB3F,D8FD,ED3F
2B37,BB3E,85DD,7611
2B38,BB31,8FDD,9D13
2B39,BB30,8572,6631
2B3A,BB33,8A72,A63B
2B3B,BB32,DE32,8D1B
2B3C,BB35,DC32,DD1F
2B3D,BB34,DEFD,9613
2B3E,BB37,D832,E63F
2B3F,BB36,8ADD,861B
2B40,BB49,1456,2650
2B41,BB48,8522,1B99
2B42,BB4B,D4CD,765C
2B43,BB4A,14C5,9652
2B44,BB4D,C520,8658
2B45,BB4C,85BD,6B9C
2B46,BB4F,B4C9,D65D
2B47,BB4E,05B5,3B97
2B48,BB41,C5B9,4B92
2B49,BB40,0526,5657
2B4A,BB43,A523,C65E
2B4B,BB42,E453,AB98
2B4C,BB45,D452,EB9D
2B4D,BB44,E4CF,FB90
2B4E,BB47,B450,B659
2B4F,BB46,A5BF,0B9E
2B50,BB59,24A0,FF96
2B51,BB58,7F62,B6C5
2B52,BB5B,D1A2,6F91
2B53,BB5A,B7A0,4F93
2B54,BB5D,5F60,A6AB
2B55,BB5C,8662,7F51
2B56,BB5F,B1A0,E6AF
2B57,BB5E,CB60,5F5A
2B58,BB51,C660,9F53
2B59,BB50,5560,3F9A
2B5A,BB53,7562,06A4
2B5B,BB52,94A2,86CB
2B5C,BB55,98A2,D6CF
2B5D,BB54,D7A2,2F56
2B5E,BB57,28A0,16A5
2B5F,BB56,8B62,C6C4
2B60,BB69,94F2,4F33
2B61,BB68,79D2,D6EF
2B62,BB6B,D3F2,6931
2B63,BB6A,D7F2,4933
2B64,BB6D,7FD2,ADFB
2B65,BB6C,8DD2,7911
2B66,BB6F,D1F2,EDFF
2B67,BB6E,8BD2,7F11
2B68,BB61,86D2,9913
2B69,BB60,75D2,6F31
2B6A,BB63,7AD2,A6FB
2B6B,BB62,9EF2,8DEB
2B6C,BB65,9CF2,DDEF
2B6D,BB64,D2F2,9F13
2B6E,BB67,98F2,E6FF
2B6F,BB66,80D2,86EB
2B70,BB79,74DC,4873
2B71,BB78,9CFC,D10F
2B72,BB7B,83DC,4973
2B73,BB7A,87DC,4C73
2B74,BB7D,98FC,EDDF
2B75,BB7C,D3FC,9943
2B76,BB7F,81DC,E3DF
2B77,BB7E,D7FC,9F43
2B78,BB71,D1FC,9C43
2B79,BB70,94FC,4F73
2B7A,BB73,9EFC,E6DF
2B7B,BB72,7EDC,DD0F
2B7C,BB75,7CDC,D30F
2B7D,BB74,82DC,9843
2B7E,BB77,78DC,E1DF
2B7F,BB76,D2FC,D60F
2B80,BB89,F4C6,2F50
2B81,BB88,75B2,1BA9
2B82,BB8B,D7C2,7F5C
2B83,BB8A,17C6,9F52
2B84,BB8D,55B0,86C8
2B85,BB8C,8BB2,659C
2B86,BB8F,B7C0,D6CD
2B87,BB8E,0BB6,3597
2B88,BB81,CBB0,4592
2B89,BB80,35B6,5F57
2B8A,BB83,65B3,C6CE
2B8B,BB82,44C3,ABA8
2B8C,BB85,94C2,EBAD
2B8D,BB84,E7C3,F590
2B8E,BB87,24C0,B6C9
2B8F,BB86,ABB3,0BAE
2B90,BB99,E413,9612
2B91,BB98,8A42,EB3D
2B92,BB9B,DEED,7D1C
2B93,BB9A,E4EF,9D12
2B94,BB9D,8542,8D18
2B95,BB9C,8A0D,603C
2B96,BB9F,D4ED,DD1D
2B97,BB9E,A50F,6B3C
2B98,BB91,850D,4032
2B99,BB90,A543,761C
2B9A,BB93,AA43,8618
2B9B,BB92,EE13,A038
2B9C,BB95,DE12,E03D
2B9D,BB94,EEEF,4B32
2B9E,BB97,D412,D61D
2B9F,BB96,AA0F,AB38
2BA0,BBA9,042A,2120
2BA1,BBA8,D45C,1789
2BA2,BBAB,84B8,9622
2BA3,BBAA,04B4,9122
2BA4,BBAD,B457,D62D
2BA5,BBAC,D4C8,4B82
2BA6,BBAF,C4BE,D12D
2BA7,BBAE,14C4,FB80
2BA8,BBA1,B4CE,4782
2BA9,BBA0,145A,2620
2BAA,BBA3,E451,B629
2BAB,BBA2,A421,EB8D
2BAC,BBA5,842C,E78D
2BAD,BBA4,A4BB,F780
2BAE,BBA7,C427,B129
2BAF,BBA6,E4CB,1B89
2BB0,BBB9,B490,F696
2BB1,BBB8,8F82,B655
2BB2,BBBB,D8AD,6691
2BB3,BBBA,B4A9,4693
2BB4,BBBD,CF80,A69B
2BB5,BBBC,8F6D,7651
2BB6,BBBF,B8A9,E69F
2BB7,BBBE,C569,565A
2BB8,BBB1,CF69,9653
2BB9,BBB0,C580,369A
2BBA,BBB3,8582,0694
2BBB,BBB2,D492,865B
2BBC,BBB5,D892,D65F
2BBD,BBB4,D4AD,2656
2BBE,BBB7,B890,1695
2BBF,BBB6,856D,C654
2BC0,BBC9,5467,F886
2BC1,BBC8,98AC,B1B5
2BC2,BBCB,816C,4F83
2BC3,BBCA,C767,4883
2BC4,BBCD,28A7,E66F
2BC5,BBCC,D1AC,9F23
2BC6,BBCF,C167,E16F
2BC7,BBCE,B7A7,2F26
2BC8,BBC1,B1A7,9823
2BC9,BBC0,24A7,FF86
2BCA,BBC3,94AC,1665
2BCB,BBC2,746C,D6BF
2BCC,BBC5,786C,D1BF
2BCD,BBC4,876C,2826
2BCE,BBC7,5867,1165
2BCF,BBC6,D7AC,B6B5
2BD0,BBD9,44E3,9F12
2BD1,BBD8,7A02,EBFD
2BD2,BBDB,D2E2,791C
2BD3,BBDA,E7E3,9912
2BD4,BBDD,7502,8DE8
2BD5,BBDC,8002,6A3C
2BD6,BBDF,D7E2,DDED
2BD7,BBDE,AB03,653C
2BD8,BBD1,8B02,4A32
2BD9,BBD0,6503,7F1C
2BDA,BBD3,6A03,86E8
2BDB,BBD2,4EE3,A0F8
2BDC,BBD5,9EE2,E0FD
2BDD,BBD4,E2E3,4532
2BDE,BBD7,94E2,D6ED
2BDF,BBD6,A003,ABF8
